iter	Passed	Remaining
0	59	59662
1	60	29976
2	60	20071
3	60	15122
4	61	12151
5	61	10173
6	61	8754
7	62	7692
8	62	6867
9	62	6203
10	62	5661
11	63	5209
12	63	4826
13	63	4500
14	64	4216
15	64	3969
16	64	3752
17	65	3558
18	65	3383
19	65	3226
20	66	3083
21	66	2953
22	66	2837
23	67	2729
24	67	2629
25	67	2536
26	68	2451
27	68	2372
28	68	2297
29	68	2228
30	69	2183
31	70	2121
32	70	2063
33	71	2030
34	71	1978
35	72	1929
36	72	1882
37	72	1841
38	73	1800
39	73	1761
40	73	1724
41	74	1689
42	74	1657
43	74	1623
44	75	1592
45	75	1562
46	75	1534
47	76	1508
48	76	1481
49	76	1456
50	76	1432
51	77	1409
52	77	1387
53	78	1367
54	78	1348
55	78	1329
56	79	1309
57	79	1291
58	79	1272
59	80	1256
60	80	1240
61	80	1224
62	81	1208
63	81	1193
64	81	1178
65	82	1164
66	82	1150
67	82	1133
68	83	1120
69	83	1107
70	83	1094
71	84	1083
72	84	1070
73	84	1058
74	84	1046
75	85	1035
76	85	1024
77	85	1014
78	86	1004
79	86	993
80	86	984
81	87	974
82	87	964
83	87	956
84	87	946
85	88	937
86	88	927
87	88	919
88	89	911
89	89	903
90	89	896
91	90	889
92	90	883
93	90	875
94	91	869
95	91	862
96	91	854
97	92	847
98	92	841
99	92	834
100	93	827
101	93	819
102	93	814
103	93	808
104	94	802
105	94	796
106	94	790
107	95	785
108	95	779
109	95	774
110	96	769
111	96	763
112	96	758
113	96	753
114	97	747
115	97	742
116	97	737
117	97	731
118	98	726
119	98	722
120	98	718
121	99	713
122	99	707
123	99	704
124	99	699
125	100	695
126	100	690
127	100	685
128	100	681
129	101	677
130	101	674
131	101	670
132	102	666
133	102	662
134	102	659
135	103	655
136	103	652
137	103	647
138	104	644
139	104	641
140	104	637
141	104	634
142	105	630
143	105	627
144	105	623
145	106	620
146	106	617
147	106	613
148	106	610
149	107	607
150	107	604
151	107	600
152	107	597
153	108	594
154	108	592
155	108	589
156	109	586
157	109	583
158	109	581
159	110	578
160	110	575
161	110	572
162	110	569
163	111	567
164	111	564
165	111	562
166	112	560
167	112	557
168	112	554
169	113	552
170	113	550
171	113	547
172	114	545
173	114	542
174	114	540
175	114	538
176	115	535
177	115	534
178	115	531
179	116	529
180	116	526
181	116	524
182	117	522
183	117	520
184	117	518
185	117	516
186	118	513
187	118	511
188	118	509
189	119	507
190	119	505
191	119	503
192	119	501
193	120	499
194	120	497
195	120	495
196	121	493
197	121	491
198	121	489
199	122	488
200	122	486
201	122	484
202	122	482
203	123	480
204	123	479
205	123	477
206	124	475
207	124	473
208	124	471
209	124	470
210	125	468
211	125	467
212	125	465
213	126	463
214	126	462
215	126	460
216	127	458
217	127	457
218	127	455
219	128	453
220	128	452
221	128	450
222	129	449
223	129	448
224	129	446
225	129	445
226	130	443
227	130	442
228	131	441
229	131	439
230	131	438
231	132	437
232	132	435
233	132	434
234	133	433
235	133	431
236	133	430
237	133	428
238	134	427
239	134	425
240	134	424
241	135	422
242	135	421
243	135	420
244	135	418
245	136	417
246	136	416
247	136	414
248	137	413
249	137	412
250	137	410
251	137	409
252	138	408
253	138	406
254	138	405
255	139	404
256	139	403
257	139	401
258	139	400
259	140	399
260	140	398
261	140	396
262	141	395
263	141	394
264	141	393
265	142	392
266	142	391
267	142	389
268	143	388
269	143	387
270	143	386
271	143	385
272	144	384
273	144	383
274	144	381
275	145	380
276	145	379
277	145	378
278	146	377
279	147	378
280	147	377
281	147	376
282	148	375
283	148	374
284	148	372
285	148	371
286	149	370
287	149	369
288	149	368
289	150	367
290	150	366
291	150	365
292	151	364
293	151	363
294	151	362
295	151	361
296	152	360
297	152	359
298	152	358
299	153	357
300	153	356
301	153	355
302	154	354
303	154	353
304	154	352
305	154	351
306	155	350
307	155	349
308	155	348
309	156	347
310	156	346
311	156	345
312	156	344
313	157	343
314	157	342
315	157	341
316	158	340
317	158	339
318	158	338
319	159	337
320	159	336
321	159	335
322	159	334
323	160	333
324	160	333
325	160	332
326	160	331
327	161	330
328	161	329
329	161	328
330	162	327
331	162	326
332	162	325
333	162	324
334	163	324
335	163	323
336	163	322
337	164	321
338	164	320
339	164	319
340	165	318
341	165	318
342	165	317
343	165	316
344	166	315
345	166	315
346	166	314
347	167	313
348	168	313
349	168	312
350	168	312
351	169	311
352	169	310
353	169	309
354	170	309
355	170	308
356	170	307
357	170	306
358	171	305
359	171	304
360	171	304
361	172	303
362	172	302
363	172	301
364	173	301
365	173	300
366	173	299
367	173	298
368	174	298
369	174	297
370	174	296
371	175	295
372	175	294
373	175	294
374	175	293
375	176	292
376	176	291
377	176	290
378	177	290
379	177	289
380	177	288
381	178	288
382	178	287
383	178	286
384	179	286
385	179	285
386	179	284
387	179	283
388	180	283
389	180	282
390	180	281
391	181	280
392	181	280
393	181	279
394	182	278
395	182	278
396	182	277
397	182	276
398	183	275
399	183	275
400	183	274
401	184	273
402	184	273
403	184	272
404	184	271
405	185	271
406	185	270
407	185	269
408	186	268
409	186	268
410	186	267
411	187	266
412	187	266
413	187	265
414	187	264
415	188	264
416	188	263
417	188	262
418	188	262
419	189	261
420	189	260
421	189	260
422	190	259
423	190	258
424	190	258
425	191	257
426	191	256
427	191	256
428	192	255
429	192	255
430	192	254
431	192	253
432	193	253
433	193	252
434	193	251
435	194	250
436	194	250
437	194	249
438	194	249
439	195	248
440	195	247
441	195	247
442	196	246
443	196	246
444	196	245
445	197	244
446	197	244
447	197	243
448	198	242
449	198	242
450	198	241
451	198	241
452	199	240
453	199	239
454	199	239
455	200	238
456	200	238
457	200	237
458	200	236
459	201	236
460	202	236
461	202	235
462	202	235
463	203	234
464	203	234
465	203	233
466	204	232
467	204	232
468	204	231
469	204	231
470	205	230
471	205	229
472	205	229
473	206	228
474	206	228
475	206	227
476	206	226
477	207	226
478	207	225
479	207	225
480	208	224
481	208	224
482	208	223
483	209	222
484	209	222
485	209	221
486	210	221
487	210	220
488	210	220
489	210	219
490	211	219
491	211	218
492	211	218
493	212	217
494	212	216
495	212	216
496	213	215
497	213	215
498	213	214
499	214	214
500	215	214
501	215	213
502	215	213
503	215	212
504	216	211
505	216	211
506	216	210
507	217	210
508	217	209
509	217	209
510	217	208
511	218	207
512	218	207
513	218	206
514	219	206
515	219	205
516	219	205
517	219	204
518	220	204
519	220	203
520	220	203
521	221	202
522	221	202
523	221	201
524	222	200
525	222	200
526	222	199
527	222	199
528	223	198
529	223	198
530	223	197
531	224	197
532	224	196
533	224	195
534	224	195
535	225	194
536	225	194
537	225	193
538	226	193
539	226	192
540	226	192
541	226	191
542	227	191
543	227	190
544	227	190
545	228	189
546	228	189
547	228	188
548	229	188
549	229	187
550	229	187
551	230	186
552	230	186
553	230	185
554	230	185
555	231	184
556	231	184
557	231	183
558	231	182
559	232	182
560	232	181
561	232	181
562	233	180
563	233	180
564	233	179
565	234	179
566	234	178
567	234	178
568	234	177
569	235	177
570	235	176
571	235	176
572	236	175
573	236	175
574	236	174
575	236	174
576	237	173
577	237	173
578	237	172
579	238	172
580	238	171
581	238	171
582	239	171
583	239	170
584	239	170
585	240	169
586	240	169
587	240	168
588	240	168
589	241	167
590	241	167
591	241	166
592	242	166
593	242	165
594	242	165
595	242	164
596	243	164
597	243	163
598	243	163
599	244	162
600	244	162
601	244	161
602	245	161
603	245	160
604	245	160
605	245	159
606	246	159
607	246	158
608	246	158
609	247	158
610	247	157
611	247	157
612	248	156
613	248	156
614	248	155
615	248	155
616	249	154
617	249	154
618	249	153
619	250	153
620	250	152
621	250	152
622	250	151
623	251	151
624	251	150
625	251	150
626	252	149
627	252	149
628	252	149
629	252	148
630	253	148
631	253	147
632	253	147
633	254	146
634	254	146
635	254	145
636	255	145
637	255	144
638	255	144
639	255	143
640	256	143
641	256	143
642	256	142
643	257	142
644	257	141
645	257	141
646	258	140
647	258	140
648	258	139
649	259	139
650	259	139
651	259	138
652	260	138
653	260	137
654	260	137
655	261	136
656	261	136
657	261	136
658	262	135
659	262	135
660	262	134
661	263	134
662	263	133
663	263	133
664	264	133
665	264	132
666	264	132
667	264	131
668	265	131
669	265	130
670	265	130
671	266	129
672	266	129
673	266	129
674	267	128
675	267	128
676	267	127
677	268	127
678	268	126
679	268	126
680	269	126
681	269	125
682	269	125
683	269	124
684	270	124
685	270	123
686	270	123
687	271	122
688	271	122
689	271	122
690	271	121
691	272	121
692	272	120
693	272	120
694	273	119
695	273	119
