iter	Passed	Remaining
0	60	60498
1	61	30441
2	61	20391
3	61	15356
4	61	12332
5	62	10318
6	62	8876
7	62	7796
8	63	6953
9	63	6282
10	63	5734
11	64	5286
12	64	4902
13	64	4576
14	65	4290
15	65	4046
16	66	3832
17	66	3633
18	66	3457
19	67	3297
20	67	3154
21	67	3022
22	68	2903
23	68	2791
24	69	2692
25	69	2605
26	69	2517
27	70	2436
28	70	2360
29	70	2289
30	71	2222
31	71	2159
32	71	2100
33	72	2048
34	72	1998
35	72	1950
36	73	1905
37	73	1862
38	73	1821
39	74	1785
40	74	1749
41	75	1713
42	75	1681
43	75	1648
44	76	1616
45	76	1586
46	76	1557
47	77	1529
48	77	1502
49	77	1476
50	78	1452
51	78	1428
52	78	1405
53	79	1384
54	79	1364
55	79	1344
56	80	1325
57	80	1306
58	80	1288
59	81	1270
60	81	1255
61	81	1239
62	82	1223
63	82	1208
64	82	1193
65	83	1178
66	83	1165
67	83	1151
68	84	1137
69	84	1124
70	84	1111
71	85	1100
72	85	1088
73	86	1077
74	86	1067
75	86	1055
76	87	1044
77	87	1034
78	87	1023
79	88	1014
80	88	1004
81	88	994
82	88	982
83	89	974
84	89	964
85	89	955
86	90	946
87	90	937
88	90	929
89	91	921
90	91	913
91	91	906
92	92	899
93	92	892
94	92	885
95	93	878
96	93	872
97	94	865
98	94	858
99	94	852
100	95	845
101	95	839
102	95	833
103	96	827
104	96	821
105	96	816
106	97	810
107	97	805
108	97	800
109	98	794
110	98	789
111	98	783
112	99	778
113	99	772
114	99	767
115	100	763
116	100	758
117	100	753
118	101	749
119	101	745
120	101	740
121	102	734
122	102	729
123	102	725
124	103	721
125	103	717
126	103	712
127	103	708
128	104	704
129	104	700
130	105	697
131	105	693
132	105	690
133	106	686
134	106	682
135	106	678
136	107	675
137	107	671
138	107	668
139	108	665
140	108	662
141	108	657
142	109	654
143	109	650
144	109	648
145	110	644
146	110	641
147	110	638
148	111	635
149	111	632
150	111	628
151	112	626
152	112	623
153	112	620
154	113	617
155	113	613
156	113	610
157	114	607
158	114	604
159	114	602
160	114	598
161	115	595
162	115	593
163	115	590
164	116	587
165	116	585
166	116	582
167	117	579
168	117	577
169	118	576
170	118	574
171	118	572
172	119	569
173	119	567
174	119	564
175	120	562
176	120	560
177	120	558
178	121	556
179	121	553
180	121	551
181	122	549
182	122	547
183	122	544
184	123	542
185	123	540
186	123	538
187	124	536
188	124	534
189	124	532
190	125	530
191	125	527
192	125	526
193	126	524
194	126	522
195	126	520
196	127	518
197	127	516
198	127	514
199	128	512
200	128	510
201	128	508
202	129	506
203	129	504
204	129	503
205	130	501
206	130	499
207	130	497
208	131	495
209	131	493
210	131	492
211	131	490
212	132	488
